goal,exam,subject,videoId,specialRank,videotitle,duration
Banking,IBPS RRB Officer Scale-1 Prelims,Reasoning,5914254,9,Test for Divisibility by 9,210
Banking,IBPS RRB Officer Scale-1 Prelims,Reasoning,5914252,10,Test for Divisibility by 6,139
Banking,IBPS RRB Officer Scale-1 Mains,Quantitative Aptitude,5914239,1,Introduction to Whole Numbers,69
Banking,IBPS RRB Officer Scale-1 Mains,Quantitative Aptitude,5912744,2,Sum of first n terms of Arithmetic Progression,334
Banking,IBPS RRB Officer Scale-1 Mains,Quantitative Aptitude,5913574,3,Geometric Progression and its nth term,321
Banking,IBPS RRB Officer Scale-1 Mains,Quantitative Aptitude,5912584,4,Problem on finding corrected means,190
Banking,IBPS RRB Officer Scale-1 Mains,Quantitative Aptitude,5914482,5,Product of Two or Three Fractions,204
Banking,IBPS RRB Officer Scale-1 Mains,Reasoning,5914540,6,Illustration of the Pythagorean Theorem,272
Banking,IBPS RRB Officer Scale-1 Mains,Reasoning,5914519,7,Word problem on age,92
Banking,IBPS RRB Officer Scale-1 Mains,Reasoning,5914253,8,Test for Divisibility by 4 and 8,285
Banking,IBPS RRB Officer Scale-1 Mains,Reasoning,5914254,9,Test for Divisibility by 9,210
Banking,IBPS RRB Officer Scale-1 Mains,Reasoning,5914252,10,Test for Divisibility by 6,139
Banking,IBPS RRB Officer Scale-1 Mains,English Language,NA,11,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,English Language,NA,12,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,English Language,NA,13,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,English Language,NA,14,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,English Language,NA,15,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,General Awareness,5913001,16,Non-conventional Sources of Energy,142
Banking,IBPS RRB Officer Scale-1 Mains,General Awareness,5912995,17,Renewable Resources of Energy,274
Banking,IBPS RRB Officer Scale-1 Mains,General Awareness,5912208,18,Photosynthesis,130
Banking,IBPS RRB Officer Scale-1 Mains,General Awareness,5912395,19,All About Plastids!,253
Banking,IBPS RRB Officer Scale-1 Mains,General Awareness,5913891,20,Methods of Controlling Air Pollution,318
Banking,IBPS RRB Officer Scale-1 Mains,हिंदी,NA,21,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,हिंदी,NA,22,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,हिंदी,NA,23,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,हिंदी,NA,24,NA,NA
Banking,IBPS RRB Officer Scale-1 Mains,हिंदी,NA,25,NA,NA
Banking,SBI Clerk Prelims,Quantitative Aptitude,5914239,1,Introduction to Whole Numbers,69
Banking,SBI Clerk Prelims,Quantitative Aptitude,5912744,2,Sum of first n terms of Arithmetic Progression,334
Banking,SBI Clerk Prelims,Quantitative Aptitude,5913574,3,Geometric Progression and its nth term,321
Banking,SBI Clerk Prelims,Quantitative Aptitude,5912584,4,Problem on finding corrected means,190
Banking,SBI Clerk Prelims,Quantitative Aptitude,5914482,5,Product of Two or Three Fractions,204
Banking,SBI Clerk Prelims,Reasoning,5914540,6,Illustration of the Pythagorean Theorem,272
Banking,SBI Clerk Prelims,Reasoning,5914519,7,Word problem on age,92
Banking,SBI Clerk Prelims,Reasoning,5914253,8,Test for Divisibility by 4 and 8,285
Banking,SBI Clerk Prelims,Reasoning,5914254,9,Test for Divisibility by 9,210
Banking,SBI Clerk Prelims,Reasoning,5914252,10,Test for Divisibility by 6,139
Banking,SBI Clerk Prelims,English Language,NA,11,NA,NA
Banking,SBI Clerk Prelims,English Language,NA,12,NA,NA
Banking,SBI Clerk Prelims,English Language,NA,13,NA,NA
Banking,SBI Clerk Prelims,English Language,NA,14,NA,NA
Banking,SBI Clerk Prelims,English Language,NA,15,NA,NA
Banking,SBI Clerk Mains,Quantitative Aptitude,5914239,1,Introduction to Whole Numbers,69
Banking,SBI Clerk Mains,Quantitative Aptitude,5912744,2,Sum of first n terms of Arithmetic Progression,334
Banking,SBI Clerk Mains,Quantitative Aptitude,5913574,3,Geometric Progression and its nth term,321
Banking,SBI Clerk Mains,Quantitative Aptitude,5912584,4,Problem on finding corrected means,190
Banking,SBI Clerk Mains,Quantitative Aptitude,5914482,5,Product of Two or Three Fractions,204
Banking,SBI Clerk Mains,Reasoning,5914540,6,Illustration of the Pythagorean Theorem,272
Banking,SBI Clerk Mains,Reasoning,5914519,7,Word problem on age,92
Banking,SBI Clerk Mains,Reasoning,5914253,8,Test for Divisibility by 4 and 8,285
Banking,SBI Clerk Mains,Reasoning,5914254,9,Test for Divisibility by 9,210
Banking,SBI Clerk Mains,Reasoning,5914252,10,Test for Divisibility by 6,139
Banking,SBI Clerk Mains,English Language,NA,11,NA,NA
Banking,SBI Clerk Mains,English Language,NA,12,NA,NA
Banking,SBI Clerk Mains,English Language,NA,13,NA,NA
Banking,SBI Clerk Mains,English Language,NA,14,NA,NA
Banking,SBI Clerk Mains,English Language,NA,15,NA,NA
Banking,SBI Clerk Mains,General Awareness,5913001,16,Non-conventional Sources of Energy,142
Banking,SBI Clerk Mains,General Awareness,5912995,17,Renewable Resources of Energy,274
Banking,SBI Clerk Mains,General Awareness,5912208,18,Photosynthesis,130
Banking,SBI Clerk Mains,General Awareness,5912395,19,All About Plastids!,253
Banking,SBI Clerk Mains,General Awareness,5913891,20,Methods of Controlling Air Pollution,318
Banking,SBI PO Prelims,Quantitative Aptitude,5914239,1,Introduction to Whole Numbers,69
Banking,SBI PO Prelims,Quantitative Aptitude,5912744,2,Sum of first n terms of Arithmetic Progression,334
Banking,SBI PO Prelims,Quantitative Aptitude,5913574,3,Geometric Progression and its nth term,321
Banking,SBI PO Prelims,Quantitative Aptitude,5912584,4,Problem on finding corrected means,190
Banking,SBI PO Prelims,Quantitative Aptitude,5914482,5,Product of Two or Three Fractions,204
Banking,SBI PO Prelims,Reasoning,5914540,6,Illustration of the Pythagorean Theorem,272
Banking,SBI PO Prelims,Reasoning,5914519,7,Word problem on age,92
Banking,SBI PO Prelims,Reasoning,5914253,8,Test for Divisibility by 4 and 8,285
Banking,SBI PO Prelims,Reasoning,5914254,9,Test for Divisibility by 9,210
Banking,SBI PO Prelims,Reasoning,5914252,10,Test for Divisibility by 6,139
Banking,SBI PO Prelims,English Language,NA,11,NA,NA
Banking,SBI PO Prelims,English Language,NA,12,NA,NA
Banking,SBI PO Prelims,English Language,NA,13,NA,NA
Banking,SBI PO Prelims,English Language,NA,14,NA,NA
Banking,SBI PO Prelims,English Language,NA,15,NA,NA
Banking,SBI PO Mains,Quantitative Aptitude,5914239,1,Introduction to Whole Numbers,69
Banking,SBI PO Mains,Quantitative Aptitude,5912744,2,Sum of first n terms of Arithmetic Progression,334
Banking,SBI PO Mains,Quantitative Aptitude,5913574,3,Geometric Progression and its nth term,321
Banking,SBI PO Mains,Quantitative Aptitude,5912584,4,Problem on finding corrected means,190
Banking,SBI PO Mains,Quantitative Aptitude,5914482,5,Product of Two or Three Fractions,204
Banking,SBI PO Mains,Reasoning,5914540,6,Illustration of the Pythagorean Theorem,272
Banking,SBI PO Mains,Reasoning,5914519,7,Word problem on age,92
Banking,SBI PO Mains,Reasoning,5914253,8,Test for Divisibility by 4 and 8,285
Banking,SBI PO Mains,Reasoning,5914254,9,Test for Divisibility by 9,210
Banking,SBI PO Mains,Reasoning,5914252,10,Test for Divisibility by 6,139
Banking,SBI PO Mains,English Language,NA,11,NA,NA
Banking,SBI PO Mains,English Language,NA,12,NA,NA
Banking,SBI PO Mains,English Language,NA,13,NA,NA
Banking,SBI PO Mains,English Language,NA,14,NA,NA
Banking,SBI PO Mains,English Language,NA,15,NA,NA
Banking,SBI PO Mains,General Awareness,5913001,16,Non-conventional Sources of Energy,142
Banking,SBI PO Mains,General Awareness,5912995,17,Renewable Resources of Energy,274
Banking,SBI PO Mains,General Awareness,5912208,18,Photosynthesis,130
Banking,SBI PO Mains,General Awareness,5912395,19,All About Plastids!,253
Banking,SBI PO Mains,General Awareness,5913891,20,Methods of Controlling Air Pollution,318
SSC,SSC,Agriculture & Rural Development,NA,1,NA,NA
SSC,SSC,Agriculture & Rural Development,NA,2,NA,NA
SSC,SSC,Agriculture & Rural Development,NA,3,NA,NA
SSC,SSC,Agriculture & Rural Development,NA,4,NA,NA
SSC,SSC,Agriculture & Rural Development,NA,5,NA,NA
SSC,SSC,Commerce & Accountancy,NA,6,NA,NA
SSC,SSC,Commerce & Accountancy,NA,7,NA,NA
SSC,SSC,Commerce & Accountancy,NA,8,NA,NA
SSC,SSC,Commerce & Accountancy,NA,9,NA,NA
SSC,SSC,Commerce & Accountancy,NA,10,NA,NA
SSC,SSC,Companies Act and Economics,NA,11,NA,NA
SSC,SSC,Companies Act and Economics,NA,12,NA,NA
SSC,SSC,Companies Act and Economics,NA,13,NA,NA
SSC,SSC,Companies Act and Economics,NA,14,NA,NA
SSC,SSC,Companies Act and Economics,NA,15,NA,NA
SSC,SSC,Computer Knowledge,NA,16,NA,NA
SSC,SSC,Computer Knowledge,NA,17,NA,NA
SSC,SSC,Computer Knowledge,NA,18,NA,NA
SSC,SSC,Computer Knowledge,NA,19,NA,NA
SSC,SSC,Computer Knowledge,NA,20,NA,NA
SSC,SSC,Economic and Social Issues,NA,21,NA,NA
SSC,SSC,Economic and Social Issues,NA,22,NA,NA
SSC,SSC,Economic and Social Issues,NA,23,NA,NA
SSC,SSC,Economic and Social Issues,NA,24,NA,NA
SSC,SSC,Economic and Social Issues,NA,25,NA,NA
SSC,SSC,English Language,NA,26,NA,NA
SSC,SSC,English Language,NA,27,NA,NA
SSC,SSC,English Language,NA,28,NA,NA
SSC,SSC,English Language,NA,29,NA,NA
SSC,SSC,English Language,NA,30,NA,NA
SSC,SSC,Finance,NA,31,NA,NA
SSC,SSC,Finance,NA,32,NA,NA
SSC,SSC,Finance,NA,33,NA,NA
SSC,SSC,Finance,NA,34,NA,NA
SSC,SSC,Finance,NA,35,NA,NA
SSC,SSC,Finance and Management,NA,36,NA,NA
SSC,SSC,Finance and Management,NA,37,NA,NA
SSC,SSC,Finance and Management,NA,38,NA,NA
SSC,SSC,Finance and Management,NA,39,NA,NA
SSC,SSC,Finance and Management,NA,40,NA,NA
SSC,SSC,General Awareness,5914445,41,Sources of Light & it's Rectilinear Propagation,266
SSC,SSC,General Awareness,5913020,42,Sustainable Forest Management,286
SSC,SSC,General Awareness,5915037,43,Factors Affecting the Speed of Sound in Air,97
SSC,SSC,General Awareness,5912694,44,Destruction of red blood cells in malaria,77
SSC,SSC,General Awareness,5914681,45,"Weather, Temperature and Atmosphere",355
SSC,SSC,Quantitative Aptitude,5913540,46,Introduction of Circular Permutation,112
SSC,SSC,Quantitative Aptitude,5913554,47,Problems on Combination,103
SSC,SSC,Quantitative Aptitude,5914239,48,Introduction to Whole Numbers,69
SSC,SSC,Quantitative Aptitude,5912286,49,Understanding Cube Numbers and Its Unit Digit,62
SSC,SSC,Quantitative Aptitude,5914646,50,Understanding Plane and Solid figures,225
SSC,SSC,Reasoning,5913645,51,Mathematical Statement,74
SSC,SSC,Reasoning,NA,52,NA,NA
SSC,SSC,Reasoning,NA,53,NA,NA
SSC,SSC,Reasoning,NA,54,NA,NA
SSC,SSC,Reasoning,NA,55,NA,NA
SSC,SSC,हिंदी,NA,56,NA,NA
SSC,SSC,हिंदी,NA,57,NA,NA
SSC,SSC,हिंदी,NA,58,NA,NA
SSC,SSC,हिंदी,NA,59,NA,NA
SSC,SSC,हिंदी,NA,60,NA,NA
Teaching,CTET Paper 1,Child Development & Pedagogy,NA,1,NA,NA
Teaching,CTET Paper 1,Child Development & Pedagogy,NA,2,NA,NA
Teaching,CTET Paper 1,Child Development & Pedagogy,NA,3,NA,NA
Teaching,CTET Paper 1,Child Development & Pedagogy,NA,4,NA,NA
Teaching,CTET Paper 1,Child Development & Pedagogy,NA,5,NA,NA
Teaching,CTET Paper 1,English,NA,6,NA,NA
Teaching,CTET Paper 1,English,NA,7,NA,NA
Teaching,CTET Paper 1,English,NA,8,NA,NA
Teaching,CTET Paper 1,English,NA,9,NA,NA
Teaching,CTET Paper 1,English,NA,10,NA,NA
Teaching,CTET Paper 1,Environmental Studies & Pedagogy,NA,11,NA,NA
Teaching,CTET Paper 1,Environmental Studies & Pedagogy,NA,12,NA,NA
Teaching,CTET Paper 1,Environmental Studies & Pedagogy,NA,13,NA,NA
Teaching,CTET Paper 1,Environmental Studies & Pedagogy,NA,14,NA,NA
Teaching,CTET Paper 1,Environmental Studies & Pedagogy,NA,15,NA,NA
Teaching,CTET Paper 1,Mathematics,5914311,16,Addition of Integers with the Help of Absolute Values,74
Teaching,CTET Paper 1,Mathematics,5914254,17,Test for Divisibility by 9,210
Teaching,CTET Paper 1,Mathematics,5912197,18,Basics of decimal numbers,244
Teaching,CTET Paper 1,Mathematics,5914248,19,Prime and Composite Numbers,207
Teaching,CTET Paper 1,Mathematics,5912742,20,Arithmetic Progressions,315
Teaching,CTET Paper 1,हिंदी,NA,21,NA,NA
Teaching,CTET Paper 1,हिंदी,NA,22,NA,NA
Teaching,CTET Paper 1,हिंदी,NA,23,NA,NA
Teaching,CTET Paper 1,हिंदी,NA,24,NA,NA
Teaching,CTET Paper 1,हिंदी,NA,25,NA,NA
Teaching,CTET Paper 2,Child Development & Pedagogy,NA,1,NA,NA
Teaching,CTET Paper 2,Child Development & Pedagogy,NA,2,NA,NA
Teaching,CTET Paper 2,Child Development & Pedagogy,NA,3,NA,NA
Teaching,CTET Paper 2,Child Development & Pedagogy,NA,4,NA,NA
Teaching,CTET Paper 2,Child Development & Pedagogy,NA,5,NA,NA
Teaching,CTET Paper 2,English,NA,6,NA,NA
Teaching,CTET Paper 2,English,NA,7,NA,NA
Teaching,CTET Paper 2,English,NA,8,NA,NA
Teaching,CTET Paper 2,English,NA,9,NA,NA
Teaching,CTET Paper 2,English,NA,10,NA,NA
Teaching,CTET Paper 2,Mathematics,5913649,11,Sample Space,154
Teaching,CTET Paper 2,Mathematics,5912741,12,Nature of the Roots of the Quadratic Equation,391
Teaching,CTET Paper 2,Mathematics,5914373,13,Equation and its solution,325
Teaching,CTET Paper 2,Mathematics,5914500,14,Arithmetic Mean of the Data,76
Teaching,CTET Paper 2,Mathematics,5914570,15,Simple and Compound Interest,195
Teaching,CTET Paper 2,Science & Pedagogy,NA,16,NA,NA
Teaching,CTET Paper 2,Science & Pedagogy,NA,17,NA,NA
Teaching,CTET Paper 2,Science & Pedagogy,NA,18,NA,NA
Teaching,CTET Paper 2,Science & Pedagogy,NA,19,NA,NA
Teaching,CTET Paper 2,Science & Pedagogy,NA,20,NA,NA
Teaching,CTET Paper 2,Social Science,NA,21,NA,NA
Teaching,CTET Paper 2,Social Science,NA,22,NA,NA
Teaching,CTET Paper 2,Social Science,NA,23,NA,NA
Teaching,CTET Paper 2,Social Science,NA,24,NA,NA
Teaching,CTET Paper 2,Social Science,NA,25,NA,NA
Teaching,CTET Paper 2,हिंदी,NA,26,NA,NA
Teaching,CTET Paper 2,हिंदी,NA,27,NA,NA
Teaching,CTET Paper 2,हिंदी,NA,28,NA,NA
Teaching,CTET Paper 2,हिंदी,NA,29,NA,NA
Teaching,CTET Paper 2,हिंदी,NA,30,NA,NA
Railways,Railways,Computer Knowledge,NA,1,NA,NA
Railways,Railways,Computer Knowledge,NA,2,NA,NA
Railways,Railways,Computer Knowledge,NA,3,NA,NA
Railways,Railways,Computer Knowledge,NA,4,NA,NA
Railways,Railways,Computer Knowledge,NA,5,NA,NA
Railways,Railways,Economic and Social Issues,NA,6,NA,NA
Railways,Railways,Economic and Social Issues,NA,7,NA,NA
Railways,Railways,Economic and Social Issues,NA,8,NA,NA
Railways,Railways,Economic and Social Issues,NA,9,NA,NA
Railways,Railways,Economic and Social Issues,NA,10,NA,NA
Railways,Railways,General Awareness,5912205,11,Nutrition,157
Railways,Railways,General Awareness,5913020,12,Sustainable Forest Management,286
Railways,Railways,General Awareness,5914445,13,Sources of Light & it's Rectilinear Propagation,266
Railways,Railways,General Awareness,5912694,14,Destruction of red blood cells in malaria,77
Railways,Railways,General Awareness,5915210,15,Classification of Living Things,152
Railways,Railways,Quantitative Aptitude,5912722,16,HCF of polynomials,222
Railways,Railways,Quantitative Aptitude,5915077,17,Factorization Method,290
Railways,Railways,Quantitative Aptitude,5913651,18,Types of Events,281
Railways,Railways,Quantitative Aptitude,5913578,19,Introduction of Geometric Mean,159
Railways,Railways,Quantitative Aptitude,5913567,20,"Definition of Series, Sum & nth term",185
Railways,Railways,Reasoning,5913645,21,Mathematical Statement,74
Railways,Railways,Reasoning,NA,22,NA,NA
Railways,Railways,Reasoning,NA,23,NA,NA
Railways,Railways,Reasoning,NA,24,NA,NA
Railways,Railways,Reasoning,NA,25,NA,NA
Insurance,Insurance,Agriculture & Rural Development,NA,1,NA,NA
Insurance,Insurance,Agriculture & Rural Development,NA,2,NA,NA
Insurance,Insurance,Agriculture & Rural Development,NA,3,NA,NA
Insurance,Insurance,Agriculture & Rural Development,NA,4,NA,NA
Insurance,Insurance,Agriculture & Rural Development,NA,5,NA,NA
Insurance,Insurance,Commerce & Accountancy,NA,6,NA,NA
Insurance,Insurance,Commerce & Accountancy,NA,7,NA,NA
Insurance,Insurance,Commerce & Accountancy,NA,8,NA,NA
Insurance,Insurance,Commerce & Accountancy,NA,9,NA,NA
Insurance,Insurance,Commerce & Accountancy,NA,10,NA,NA
Insurance,Insurance,Companies Act and Economics,NA,11,NA,NA
Insurance,Insurance,Companies Act and Economics,NA,12,NA,NA
Insurance,Insurance,Companies Act and Economics,NA,13,NA,NA
Insurance,Insurance,Companies Act and Economics,NA,14,NA,NA
Insurance,Insurance,Companies Act and Economics,NA,15,NA,NA
Insurance,Insurance,Computer Knowledge,NA,16,NA,NA
Insurance,Insurance,Computer Knowledge,NA,17,NA,NA
Insurance,Insurance,Computer Knowledge,NA,18,NA,NA
Insurance,Insurance,Computer Knowledge,NA,19,NA,NA
Insurance,Insurance,Computer Knowledge,NA,20,NA,NA
Insurance,Insurance,Costing,NA,21,NA,NA
Insurance,Insurance,Costing,NA,22,NA,NA
Insurance,Insurance,Costing,NA,23,NA,NA
Insurance,Insurance,Costing,NA,24,NA,NA
Insurance,Insurance,Costing,NA,25,NA,NA
Insurance,Insurance,Economic and Social Issues,NA,26,NA,NA
Insurance,Insurance,Economic and Social Issues,NA,27,NA,NA
Insurance,Insurance,Economic and Social Issues,NA,28,NA,NA
Insurance,Insurance,Economic and Social Issues,NA,29,NA,NA
Insurance,Insurance,Economic and Social Issues,NA,30,NA,NA
Insurance,Insurance,English Language,NA,31,NA,NA
Insurance,Insurance,English Language,NA,32,NA,NA
Insurance,Insurance,English Language,NA,33,NA,NA
Insurance,Insurance,English Language,NA,34,NA,NA
Insurance,Insurance,English Language,NA,35,NA,NA
Insurance,Insurance,Finance,NA,36,NA,NA
Insurance,Insurance,Finance,NA,37,NA,NA
Insurance,Insurance,Finance,NA,38,NA,NA
Insurance,Insurance,Finance,NA,39,NA,NA
Insurance,Insurance,Finance,NA,40,NA,NA
Insurance,Insurance,Finance and Management,NA,41,NA,NA
Insurance,Insurance,Finance and Management,NA,42,NA,NA
Insurance,Insurance,Finance and Management,NA,43,NA,NA
Insurance,Insurance,Finance and Management,NA,44,NA,NA
Insurance,Insurance,Finance and Management,NA,45,NA,NA
Insurance,Insurance,General Awareness,5914658,46,Understanding the Physiology Of Digestion,269
Insurance,Insurance,General Awareness,5912205,47,Nutrition,157
Insurance,Insurance,General Awareness,5913874,48,Genetic Engineering,323
Insurance,Insurance,General Awareness,5914445,49,Sources of Light & it's Rectilinear Propagation,266
Insurance,Insurance,General Awareness,5915037,50,Factors Affecting the Speed of Sound in Air,97
Insurance,Insurance,Human Resource Management,NA,51,NA,NA
Insurance,Insurance,Human Resource Management,NA,52,NA,NA
Insurance,Insurance,Human Resource Management,NA,53,NA,NA
Insurance,Insurance,Human Resource Management,NA,54,NA,NA
Insurance,Insurance,Human Resource Management,NA,55,NA,NA
Insurance,Insurance,Information Technology,NA,56,NA,NA
Insurance,Insurance,Information Technology,NA,57,NA,NA
Insurance,Insurance,Information Technology,NA,58,NA,NA
Insurance,Insurance,Information Technology,NA,59,NA,NA
Insurance,Insurance,Information Technology,NA,60,NA,NA
Insurance,Insurance,Law,NA,61,NA,NA
Insurance,Insurance,Law,NA,62,NA,NA
Insurance,Insurance,Law,NA,63,NA,NA
Insurance,Insurance,Law,NA,64,NA,NA
Insurance,Insurance,Law,NA,65,NA,NA
Insurance,Insurance,Management,NA,66,NA,NA
Insurance,Insurance,Management,NA,67,NA,NA
Insurance,Insurance,Management,NA,68,NA,NA
Insurance,Insurance,Management,NA,69,NA,NA
Insurance,Insurance,Management,NA,70,NA,NA
Insurance,Insurance,Marketing,NA,71,NA,NA
Insurance,Insurance,Marketing,NA,72,NA,NA
Insurance,Insurance,Marketing,NA,73,NA,NA
Insurance,Insurance,Marketing,NA,74,NA,NA
Insurance,Insurance,Marketing,NA,75,NA,NA
Insurance,Insurance,Quantitative Aptitude,5913578,76,Introduction of Geometric Mean,159
Insurance,Insurance,Quantitative Aptitude,5912722,77,HCF of polynomials,222
Insurance,Insurance,Quantitative Aptitude,5915077,78,Factorization Method,290
Insurance,Insurance,Quantitative Aptitude,5913554,79,Problems on Combination,103
Insurance,Insurance,Quantitative Aptitude,5912231,80,Measurement of Time,542
Insurance,Insurance,Reasoning,5913645,81,Mathematical Statement,74
Insurance,Insurance,Reasoning,NA,82,NA,NA
Insurance,Insurance,Reasoning,NA,83,NA,NA
Insurance,Insurance,Reasoning,NA,84,NA,NA
Insurance,Insurance,Reasoning,NA,85,NA,NA
Defence,Defence,Agriculture & Rural Development,NA,1,NA,NA
Defence,Defence,Agriculture & Rural Development,NA,2,NA,NA
Defence,Defence,Agriculture & Rural Development,NA,3,NA,NA
Defence,Defence,Agriculture & Rural Development,NA,4,NA,NA
Defence,Defence,Agriculture & Rural Development,NA,5,NA,NA
Defence,Defence,Computer Knowledge,NA,6,NA,NA
Defence,Defence,Computer Knowledge,NA,7,NA,NA
Defence,Defence,Computer Knowledge,NA,8,NA,NA
Defence,Defence,Computer Knowledge,NA,9,NA,NA
Defence,Defence,Computer Knowledge,NA,10,NA,NA
Defence,Defence,Economic and Social Issues,NA,11,NA,NA
Defence,Defence,Economic and Social Issues,NA,12,NA,NA
Defence,Defence,Economic and Social Issues,NA,13,NA,NA
Defence,Defence,Economic and Social Issues,NA,14,NA,NA
Defence,Defence,Economic and Social Issues,NA,15,NA,NA
Defence,Defence,English Language,NA,16,NA,NA
Defence,Defence,English Language,NA,17,NA,NA
Defence,Defence,English Language,NA,18,NA,NA
Defence,Defence,English Language,NA,19,NA,NA
Defence,Defence,English Language,NA,20,NA,NA
Defence,Defence,Finance,NA,21,NA,NA
Defence,Defence,Finance,NA,22,NA,NA
Defence,Defence,Finance,NA,23,NA,NA
Defence,Defence,Finance,NA,24,NA,NA
Defence,Defence,Finance,NA,25,NA,NA
Defence,Defence,Finance and Management,NA,26,NA,NA
Defence,Defence,Finance and Management,NA,27,NA,NA
Defence,Defence,Finance and Management,NA,28,NA,NA
Defence,Defence,Finance and Management,NA,29,NA,NA
Defence,Defence,Finance and Management,NA,30,NA,NA
Defence,Defence,General Awareness,5914969,31,"Diffusion in Solids, Liquids, and Gases",163
Defence,Defence,General Awareness,5914445,32,Sources of Light & it's Rectilinear Propagation,266
Defence,Defence,General Awareness,5915210,33,Classification of Living Things,152
Defence,Defence,General Awareness,5912656,34,Gravitation as a Centripetal Force,243
Defence,Defence,General Awareness,5912694,35,Destruction of red blood cells in malaria,77
Defence,Defence,Quantitative Aptitude,5915077,36,Factorization Method,290
Defence,Defence,Quantitative Aptitude,5912286,37,Understanding Cube Numbers and Its Unit Digit,62
Defence,Defence,Quantitative Aptitude,5912577,38,Understanding Raw data,60
Defence,Defence,Quantitative Aptitude,5912258,39,Illustration Based on Diagonals of Parallelogram,104
Defence,Defence,Quantitative Aptitude,5912722,40,HCF of polynomials,222
Defence,Defence,Reasoning,5913645,41,Mathematical Statement,74
Defence,Defence,Reasoning,NA,42,NA,NA
Defence,Defence,Reasoning,NA,43,NA,NA
Defence,Defence,Reasoning,NA,44,NA,NA
Defence,Defence,Reasoning,NA,45,NA,NA
Defence,Defence,हिंदी,NA,46,NA,NA
Defence,Defence,हिंदी,NA,47,NA,NA
Defence,Defence,हिंदी,NA,48,NA,NA
Defence,Defence,हिंदी,NA,49,NA,NA
Defence,Defence,हिंदी,NA,50,NA,NA